Question,Answer
1,C
2,A
3,D
4,D
5,INVALID_ANSWER
6,B
7,C
8,A
9,D
10,B
11,D
12,NO_ANSWER
13,D
14,C
15,A
16,D
17,NO_ANSWER
18,A
19,NO_ANSWER
20,INVALID_ANSWER
21,A
22,D
23,B
24,C
25,A
26,D
27,D
28,NO_ANSWER
29,B
30,B
31,C
32,A
33,D
34,A
35,D
36,A
37,C
38,D
39,C
40,A
41,A
42,B
43,D
44,D
45,A
46,A
47,A
48,A
49,B
50,B
51,INVALID_ANSWER
52,INVALID_ANSWER
53,A
54,A
55,B
56,C
57,D
58,D
59,A
60,NO_ANSWER
61,A
62,B
63,D
64,B
65,C
66,A
67,B
68,A
69,INVALID_ANSWER
70,A
71,C
72,D
73,C
74,NO_ANSWER
75,A
76,B
77,NO_ANSWER
78,NO_ANSWER
79,NO_ANSWER
80,A
81,D
82,B
83,C
84,NO_ANSWER
85,A
86,D
87,A
88,B
89,D
90,B
91,NO_ANSWER
92,C
93,C
94,B
95,A
96,A
97,D
98,D
99,NO_ANSWER
100,INVALID_ANSWER
